infusion,     p13,     Faulty_Prop13-ROR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     9.734,     9.664,     3.018,     6.646,     6,     6,     0.503,     1.107,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = 0));,     
infusion,     p13,     Faulty_Prop13-LOR-0-2,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     440.449,     435.565,     380.362,     55.203,     48,     49,     7.924,     1.126,     p1 = ((Current_System_Mode <= 0) xor (System_On and (Current_System_Mode <= 8)));,     
infusion,     p13,     Faulty_Prop13-ROR-2-2,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     9.758,     9.674,     3.019,     6.655,     6,     6,     0.503,     1.109,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = 0));,     
infusion,     p13,     Faulty_Prop13-ROR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     9.845,     9.775,     2.916,     6.859,     6,     6,     0.486,     1.143,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = 0));,     
infusion,     p14,     Faulty_Prop14-ROR-5-4,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     7.413,     7.353,     2.312,     5.041,     4,     4,     0.578,     1.26,     p1 = ((System_On and (((Current_System_Mode = 6) or (Current_System_Mode <= 1)) or (Current_System_Mode = 8))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-0-18,     true,    3,    MINIMAL_EXISTS_UKNOWN,     6,     2993.948,     2978.946,     2898.729,     80.217,     42,     42,     69.017,     1.909,     p1 = (((System_On xor System_On) and ((Current_System_Mode = 0) or (Commanded_Flow_Rate <= Flow_Rate_KVO))) xor (((not System_On) => (Commanded_Flow_Rate = Current_System_Mode)) and ((Current_System_Mode > 0) xor (not System_On))));,     
infusion,     p14,     Faulty_Prop14-LOR-0-3,     true,    3,    MUTANT_TIME_OUT,     6,     3837.248,     3819.202,     3742.972,     76.23,     43,     44,     87.045,     1.732,     p1 = ((((Current_System_Mode <= 0) xor System_On) and ((Commanded_Flow_Rate = Current_System_Mode) or (Current_System_Mode >= 1))) xor (((Flow_Rate_KVO = 3) xor false) and ((Flow_Rate_KVO > 4) and (Commanded_Flow_Rate = 0))));,     
infusion,     p14,     Faulty_Prop14-ROR-5-4,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     15.296,     15.177,     4.567,     10.61,     4,     4,     1.141,     2.652,     p1 = ((System_On and (((Current_System_Mode = 6) or (Current_System_Mode <= 1)) or (Current_System_Mode = 8))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-LOR-0-3,     true,    3,    MUTANT_TIME_OUT,     6,     3782.135,     3761.64,     3651.29,     110.35,     43,     44,     84.913,     2.507,     p1 = ((((Current_System_Mode <= 0) xor System_On) and ((Commanded_Flow_Rate = Current_System_Mode) or (Current_System_Mode >= 1))) xor (((Flow_Rate_KVO = 3) xor false) and ((Flow_Rate_KVO > 4) and (Commanded_Flow_Rate = 0))));,     
infusion,     p14,     Faulty_Prop14-ROR-4--1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     13.799,     13.713,     4.835,     8.878,     4,     4,     1.208,     2.219,     p1 = ((System_On and (((Current_System_Mode <= 1) or (Current_System_Mode = 7)) or (Current_System_Mode = 8))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-0--1,     true,    3,    MINIMAL_EXISTS_UKNOWN,     4,     2902.462,     2884.139,     2783.157,     100.982,     39,     39,     71.363,     2.589,     p1 = ((((Current_System_Mode = 0) and (Commanded_Flow_Rate >= 0)) => ((Current_System_Mode < 2) xor (Commanded_Flow_Rate = 0))) xor (((not System_On) and (not System_On)) or (System_On xor (Commanded_Flow_Rate >= 0))));,     
